StartTime: 2017-07-21 14:47:47.248
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
203.751	2015-01-01 00:04:19.440	-0.0547	0.0620	1.0127	0.0000	2.9907	-2.9907	2.4005	7.9431	38.6279	47.0700	446	460	-224	100805	0.43 
203.781	2015-01-01 00:04:19.480	-0.0605	0.0552	1.0225	-0.2441	3.3569	-2.9297	2.4115	7.9651	38.6115	47.0700	448	460	-226	100805	0.43 
203.844	2015-01-01 00:04:19.520	-0.0664	0.0576	1.0234	0.0000	1.4648	-2.8076	2.4170	7.9706	38.6005	47.0700	449	459	-227	100805	0.43 
203.891	2015-01-01 00:04:19.560	-0.0522	0.0532	1.0146	-0.0610	1.0376	-2.4414	2.4225	7.9047	38.5950	47.3500	450	459	-228	100805	0.43 
203.922	2015-01-01 00:04:19.600	-0.0566	0.0625	1.0151	-0.3662	1.7090	-2.5024	2.4390	7.8607	38.6115	46.8700	449	458	-226	100805	0.43 
203.953	2015-01-01 00:04:19.640	-0.0576	0.0625	1.0220	0.0000	1.8921	-2.5635	2.4500	7.8223	38.6224	47.2100	447	457	-223	100805	0.43 
204.000	2015-01-01 00:04:19.680	-0.0581	0.0571	1.0034	0.1831	2.3193	-2.7466	2.4664	7.8058	38.6169	47.2600	446	457	-222	100805	0.43 
204.047	2015-01-01 00:04:19.720	-0.0581	0.0601	1.0137	0.0000	3.1738	-3.1128	2.4774	7.8113	38.6115	47.2600	446	457	-223	100804	0.43 
204.078	2015-01-01 00:04:19.760	-0.0527	0.0630	1.0171	-0.3052	3.2349	-2.7466	2.4829	7.8333	38.6060	47.1100	450	457	-222	100805	0.43 
204.125	2015-01-01 00:04:19.800	-0.0591	0.0581	1.0156	-0.3052	1.9531	-2.8076	2.4829	7.8278	38.6060	47.1100	450	458	-222	100805	0.43 
204.188	2015-01-01 00:04:19.840	-0.0557	0.0625	1.0146	-0.1831	2.0752	-2.9907	2.4829	7.8003	38.5950	46.9200	447	458	-225	100805	0.43 
204.203	2015-01-01 00:04:19.880	-0.0566	0.0625	1.0215	0.0000	2.1362	-3.1128	2.4939	7.7893	38.5730	47.0700	446	459	-224	100805	0.43 
204.250	2015-01-01 00:04:19.920	-0.0552	0.0640	1.0215	0.0000	1.3428	-2.7466	2.5104	7.7454	38.5620	46.9200	448	459	-222	100805	0.43 
204.328	2015-01-01 00:04:19.960	-0.0537	0.0684	1.0176	-0.0610	1.2207	-2.3804	2.5214	7.6849	38.5620	47.1100	446	459	-221	100805	0.43 
204.344	2015-01-01 00:04:20.000	-0.0537	0.0620	1.0195	0.1221	1.6479	-2.2583	2.5378	7.6355	38.5620	47.0700	444	458	-221	100805	0.43 
204.360	2015-01-01 00:04:20.040	-0.0513	0.0591	1.0181	-0.0610	1.9531	-3.0518	2.5488	7.6025	38.5510	47.2600	442	458	-223	100805	0.43 
204.406	2015-01-01 00:04:20.080	-0.0542	0.0571	1.0093	0.3662	1.9531	-2.6855	2.5653	7.5751	38.5510	46.9200	446	458	-224	100805	0.43 
204.453	2015-01-01 00:04:20.120	-0.0566	0.0713	1.0225	0.1221	1.7700	-2.7466	2.5873	7.5531	38.5510	47.2600	447	459	-226	100805	0.43 
204.485	2015-01-01 00:04:20.160	-0.0522	0.0630	1.0073	0.3662	2.0142	-2.0142	2.6093	7.5037	38.5675	47.2100	447	459	-226	100805	0.43 
204.531	2015-01-01 00:04:20.200	-0.0396	0.0654	1.0142	0.0000	4.1504	-2.5635	2.6312	7.5311	38.5785	47.2100	447	460	-227	100805	0.43 
204.579	2015-01-01 00:04:20.240	-0.0459	0.0630	1.0259	-0.9155	2.4414	-1.4648	2.6257	7.5366	38.6115	47.4000	448	461	-227	100805	0.43 
204.610	2015-01-01 00:04:20.280	-0.0713	0.0776	1.0239	-0.9766	0.4272	-2.1362	2.6312	7.5037	38.6334	47.1100	447	461	-224	100805	0.43 
204.688	2015-01-01 00:04:20.320	-0.0688	0.0703	1.0181	-1.3428	-4.1504	-0.7324	2.6093	7.3444	38.6499	47.0700	445	460	-225	100805	0.43 
204.688	2015-01-01 00:04:20.360	-0.0537	0.0649	1.0249	-0.6714	-6.8970	0.6104	2.6093	7.0258	38.7268	47.1100	445	458	-222	100805	0.43 
204.751	2015-01-01 00:04:20.400	-0.0405	0.0620	1.0239	-0.4883	-8.6670	1.7090	2.6147	6.5918	38.8531	47.0700	444	461	-223	100805	0.43 
204.782	2015-01-01 00:04:20.440	-0.0410	0.0786	1.0293	-0.9766	-8.4229	2.3193	2.6257	6.1469	39.0179	47.0700	448	460	-225	100805	0.43 
204.813	2015-01-01 00:04:20.480	-0.0430	0.0605	1.0322	-0.4883	-11.5356	1.2817	2.6422	5.6525	39.1772	47.4000	450	460	-226	100805	0.43 
204.891	2015-01-01 00:04:20.520	-0.0327	0.0547	1.0239	-0.9766	-15.7471	0.6104	2.6202	5.0098	39.2706	47.0700	446	460	-228	100805	0.43 
204.891	2015-01-01 00:04:20.560	-0.0249	0.0327	1.0283	-1.2207	-20.1416	-0.0610	2.5763	4.2297	39.3365	47.3500	442	465	-227	100805	0.43 
204.938	2015-01-01 00:04:20.600	0.0034	0.0259	1.0327	0.5493	-23.0103	-2.8687	2.5433	3.2849	39.3146	47.2100	441	468	-227	100805	0.43 
204.969	2015-01-01 00:04:20.640	-0.0098	0.0776	1.0430	1.9531	-25.5737	-0.3052	2.5983	2.2302	39.2926	47.2100	440	464	-228	100805	0.43 
205.032	2015-01-01 00:04:20.680	0.0186	0.1201	1.0464	2.8687	-33.9966	4.5166	2.7850	0.9778	39.3805	47.0700	433	460	-228	100805	0.43 
205.094	2015-01-01 00:04:20.720	0.0654	0.1123	1.0308	0.7324	-36.4380	9.0942	2.9553	-0.5164	39.6661	47.0200	429	457	-226	100805	0.43 
205.110	2015-01-01 00:04:20.760	0.0767	0.0645	1.0601	0.0000	-44.7388	12.3291	2.9993	-2.2467	40.1056	47.0700	427	456	-229	100805	0.43 
205.157	2015-01-01 00:04:20.800	0.1006	0.0107	1.0269	0.7324	-49.8047	10.9253	2.9608	-4.2462	40.5341	47.1100	423	456	-232	100805	0.43 
205.204	2015-01-01 00:04:20.840	0.1235	0.0459	1.0054	4.6997	-51.7578	10.4980	3.0157	-6.3336	40.9406	47.1100	417	458	-233	100805	0.43 
205.235	2015-01-01 00:04:20.880	0.1729	0.0713	0.9956	5.7373	-54.5044	8.4229	3.2355	-8.5089	41.2427	47.1100	415	458	-237	100805	0.43 
205.298	2015-01-01 00:04:20.920	0.2290	0.0864	0.9844	2.6855	-49.6216	11.1084	3.3783	-10.6458	41.5558	47.2600	407	457	-234	100805	0.43 
205.328	2015-01-01 00:04:20.960	0.2432	0.0527	0.9453	3.1128	-39.4897	11.2915	3.4222	-12.5464	41.9403	46.8700	400	457	-235	100805	0.43 
205.360	2015-01-01 00:04:21.000	0.3154	0.0078	0.9814	6.2866	-43.1519	6.5308	3.5376	-14.1998	42.2424	47.0700	397	457	-234	100806	0.43 
205.391	2015-01-01 00:04:21.040	0.2798	0.0166	0.9180	7.8735	-29.1138	0.6104	3.7354	-15.6940	42.3468	47.2100	395	455	-238	100805	0.43 
205.438	2015-01-01 00:04:21.080	0.3174	0.1035	0.9946	5.1880	-47.7295	-0.3052	4.0265	-17.1936	42.2314	47.0700	396	457	-242	100806	0.43 
205.517	2015-01-01 00:04:21.120	0.4043	0.1069	0.9121	1.6479	-57.6172	-1.8311	4.2737	-19.4348	42.0172	47.1100	395	457	-244	100806	0.43 
205.517	2015-01-01 00:04:21.160	0.4517	0.0728	0.9160	0.9766	-55.4199	-4.4556	4.4550	-21.8079	41.7316	47.2100	385	454	-240	100806	0.43 
205.579	2015-01-01 00:04:21.200	0.4805	0.0557	0.8750	-0.9766	-63.5376	-7.9956	4.6252	-24.2413	41.2537	47.1100	379	455	-239	100806	0.43 
205.610	2015-01-01 00:04:21.240	0.5078	0.1392	0.8262	0.0000	-68.1763	-5.2490	4.9054	-26.9769	40.7208	47.5400	377	455	-238	100806	0.43 
205.641	2015-01-01 00:04:21.280	0.5674	0.1147	0.7515	-0.4272	-70.1294	-0.0610	5.1910	-29.8993	40.3253	47.0700	365	456	-239	100806	0.43 
205.720	2015-01-01 00:04:21.320	0.5933	0.0601	0.8013	1.0376	-69.3970	5.0659	5.3394	-32.7722	40.1221	47.2100	356	456	-237	100806	0.43 
205.751	2015-01-01 00:04:21.360	0.6792	0.0513	0.7236	0.4883	-75.2563	1.8921	5.4108	-35.8594	40.0177	47.4000	346	456	-237	100806	0.43 
205.782	2015-01-01 00:04:21.400	0.7109	0.0537	0.7041	1.0986	-77.3315	0.3052	5.6030	-39.0399	39.6716	47.1100	341	457	-234	100806	0.43 
205.845	2015-01-01 00:04:21.440	0.7046	0.1602	0.6011	2.0142	-77.4536	8.4839	5.9106	-42.3358	39.3640	47.1100	340	459	-229	100806	0.43 
205.891	2015-01-01 00:04:21.480	0.8003	0.0845	0.5737	3.3569	-75.1343	6.2866	6.0645	-45.6042	39.2596	47.1100	332	458	-225	100806	0.43 
205.923	2015-01-01 00:04:21.520	0.9077	0.0396	0.4917	4.1504	-73.0591	9.0332	6.1029	-48.8562	39.2706	47.2100	322	458	-223	100806	0.43 
205.954	2015-01-01 00:04:21.560	0.8564	-0.0249	0.3877	-2.8687	-71.9604	3.5400	6.1029	-52.0587	39.0399	47.4000	317	458	-221	100806	0.43 
205.985	2015-01-01 00:04:21.600	1.0298	0.1563	0.3784	-2.5024	-65.5518	4.2114	6.2512	-55.0305	38.5236	47.0700	312	457	-219	100806	0.43 
206.048	2015-01-01 00:04:21.640	0.9502	0.1431	0.2773	-2.5024	-48.7061	10.1318	6.3721	-57.7332	38.1171	47.1100	304	458	-213	100806	0.43 
206.094	2015-01-01 00:04:21.680	0.9258	0.1431	0.3789	-2.8687	-52.7954	21.8506	5.6635	-60.0128	38.6609	47.2600	301	458	-207	100806	0.43 
206.125	2015-01-01 00:04:21.720	0.9551	0.0425	0.3062	-6.7749	-44.0674	23.7427	4.2902	-62.2211	39.7815	46.9200	298	459	-203	100807	0.43 
206.157	2015-01-01 00:04:21.760	1.0249	0.0825	0.2271	-9.5215	-30.0293	26.6724	2.1753	-64.0778	41.4734	47.2600	292	463	-199	100807	0.43 
206.188	2015-01-01 00:04:21.800	1.0449	-0.0947	0.2104	-12.3291	-12.5732	20.0806	-0.5548	-65.2863	43.6267	47.1100	293	465	-196	100807	0.43 
206.235	2015-01-01 00:04:21.840	0.9419	-0.1021	0.2051	-11.2305	-0.1831	14.8315	-2.9279	-65.7422	45.2527	47.2600	295	465	-194	100807	0.43 
206.297	2015-01-01 00:04:21.880	0.9175	-0.2041	0.3115	-10.4980	8.9111	15.9302	-5.2295	-65.6543	46.8567	47.2600	298	467	-193	100806	0.43 
206.329	2015-01-01 00:04:21.920	0.9126	-0.2104	0.2451	-9.8267	7.2021	1.5869	-7.1246	-65.5170	48.0927	47.4000	299	469	-192	100806	0.43 
206.375	2015-01-01 00:04:21.960	0.9385	-0.1963	0.4312	-10.3760	0.5493	-4.6387	-7.7454	-65.3137	47.9443	47.2600	299	471	-192	100806	0.43 
206.407	2015-01-01 00:04:22.000	1.0015	-0.1748	0.2383	-5.5542	-8.3618	-5.7983	-8.2123	-65.6927	47.7631	47.1100	300	472	-190	100806	0.43 
206.454	2015-01-01 00:04:22.040	0.9712	-0.0459	0.2197	-2.3193	12.9395	-7.1411	-7.9816	-65.8521	46.9666	47.0700	295	474	-191	100806	0.43 
206.500	2015-01-01 00:04:22.080	0.9116	-0.0200	0.3975	-2.5635	7.3853	-4.5776	-7.3773	-65.4950	45.9778	47.0200	293	475	-190	100806	0.43 
206.532	2015-01-01 00:04:22.120	0.9365	-0.0327	0.2866	0.0000	-0.8545	-4.9438	-7.0038	-65.6158	45.2747	47.2100	297	475	-188	100806	0.43 
206.579	2015-01-01 00:04:22.160	0.9609	-0.0156	0.3101	2.3804	5.5542	-1.9531	-6.6357	-65.6927	44.7308	47.1100	302	474	-190	100806	0.43 
206.610	2015-01-01 00:04:22.200	0.9097	-0.0474	0.3398	0.9766	1.2207	-4.4556	-6.1963	-65.6708	44.1431	47.1100	303	473	-190	100806	0.43 
206.657	2015-01-01 00:04:22.240	0.9390	-0.0273	0.3042	-2.3804	-2.5024	-1.2207	-6.0864	-65.8136	43.7750	47.1100	302	470	-188	100806	0.43 
206.735	2015-01-01 00:04:22.280	0.9702	-0.0449	0.3315	-1.2817	0.1221	1.4648	-6.1578	-66.0059	43.6047	47.1100	301	470	-186	100806	0.43 
206.750	2015-01-01 00:04:22.320	0.9775	-0.0498	0.2803	-3.7842	-1.1597	1.5259	-6.5643	-66.1871	43.7146	47.0700	299	471	-185	100806	0.43 
206.797	2015-01-01 00:04:22.360	0.9536	-0.1152	0.2803	-2.2583	6.8359	-0.5493	-6.8994	-66.2366	43.6652	46.9200	301	472	-184	100806	0.43 
206.844	2015-01-01 00:04:22.400	0.9160	-0.1118	0.3135	-1.6479	1.2817	2.0142	-7.2729	-66.1652	43.7695	47.3500	305	471	-184	100806	0.43 
206.875	2015-01-01 00:04:22.440	0.9326	-0.1206	0.3271	-0.1831	-0.5493	0.1831	-7.7124	-66.2366	43.9618	47.1100	305	473	-185	100806	0.43 
206.939	2015-01-01 00:04:22.480	0.9634	-0.1157	0.2944	0.9155	-2.0142	-2.1362	-7.8607	-66.4398	43.9398	47.1100	301	472	-190	100806	0.43 
206.969	2015-01-01 00:04:22.520	0.9819	-0.1074	0.2905	0.9155	4.7607	-2.0142	-7.8442	-66.5332	43.7366	47.1100	300	472	-192	100806	0.43 
207.001	2015-01-01 00:04:22.560	0.9434	-0.1011	0.3018	0.4883	5.3101	-2.5635	-7.7893	-66.4563	43.4894	47.0700	301	475	-185	100806	0.43 
207.047	2015-01-01 00:04:22.600	0.9321	-0.0835	0.3057	-1.3428	2.0752	-2.5635	-7.7069	-66.4398	43.1598	47.2100	301	477	-184	100806	0.43 
207.110	2015-01-01 00:04:22.640	0.9551	-0.0747	0.2856	-1.4038	0.6714	-2.2583	-7.6959	-66.5607	42.8906	47.0700	301	479	-185	100806	0.43 
207.141	2015-01-01 00:04:22.680	0.9712	-0.0791	0.3032	-0.2441	5.0659	-2.8076	-7.6025	-66.5936	42.5391	47.0700	301	476	-186	100806	0.43 
207.172	2015-01-01 00:04:22.720	0.9453	-0.0820	0.3115	0.0000	4.0894	-2.9297	-7.4487	-66.5387	42.1875	47.1100	301	475	-185	100806	0.43 
207.219	2015-01-01 00:04:22.760	0.9395	-0.0928	0.3159	-0.1221	2.2583	-2.3804	-7.3389	-66.5332	41.8909	47.3500	301	474	-186	100806	0.43 
207.251	2015-01-01 00:04:22.800	0.9492	-0.0928	0.2920	-0.7935	0.9766	-2.0752	-7.3334	-66.6101	41.6876	47.2600	304	473	-187	100806	0.43 
207.313	2015-01-01 00:04:22.840	0.9541	-0.0957	0.3101	-0.1831	1.5259	-2.0752	-7.3553	-66.6815	41.5228	46.8700	305	475	-190	100806	0.43 
207.360	2015-01-01 00:04:22.880	0.9482	-0.0825	0.2886	-0.1831	1.0376	-1.8921	-7.3389	-66.7694	41.3470	47.2100	305	476	-190	100806	0.43 
207.391	2015-01-01 00:04:22.920	0.9526	-0.0874	0.3003	-0.4883	2.5635	-1.3428	-7.3663	-66.8353	41.2042	47.1100	302	473	-186	100806	0.43 
207.438	2015-01-01 00:04:22.960	0.9492	-0.0898	0.3032	-0.0610	1.6479	-1.7700	-7.3773	-66.8793	41.0449	47.1100	299	477	-187	100806	0.43 
207.485	2015-01-01 00:04:23.000	0.9536	-0.0996	0.3076	-0.1831	1.8311	-2.3193	-7.3553	-66.9452	40.8527	47.2100	301	478	-186	100805	0.43 
207.548	2015-01-01 00:04:23.040	0.9521	-0.0933	0.3047	-0.6714	2.3193	-2.2583	-7.3334	-67.0001	40.6494	47.0700	302	477	-186	100806	0.43 
207.579	2015-01-01 00:04:23.080	0.9517	-0.0996	0.2993	-0.7935	2.4414	-2.0142	-7.3499	-67.0496	40.4846	47.0700	303	477	-185	100806	0.43 
207.610	2015-01-01 00:04:23.120	0.9429	-0.0957	0.3057	-0.1221	2.6245	-2.5635	-7.3224	-67.0605	40.2814	47.2100	302	475	-184	100806	0.43 
207.642	2015-01-01 00:04:23.160	0.9565	-0.0933	0.2949	-0.1221	2.1973	-2.8076	-7.2784	-67.1210	40.0781	47.1100	303	474	-184	100806	0.43 
207.688	2015-01-01 00:04:23.200	0.9360	-0.0732	0.3018	-0.6104	1.5259	-2.8076	-7.1631	-67.1429	39.8145	47.0700	303	475	-185	100806	0.43 
207.751	2015-01-01 00:04:23.240	0.9648	-0.0947	0.2920	-0.7324	2.3193	-3.3569	-7.0697	-67.2198	39.5398	47.1100	302	476	-184	100806	0.43 
207.766	2015-01-01 00:04:23.280	0.9668	-0.0972	0.2910	0.0000	4.3945	-3.1738	-6.9434	-67.2253	39.2542	47.3500	302	472	-185	100806	0.43 
207.813	2015-01-01 00:04:23.320	0.9395	-0.0991	0.3032	0.5493	4.5166	-3.1738	-6.8225	-67.1539	39.0070	47.2600	302	470	-186	100806	0.43 
207.860	2015-01-01 00:04:23.360	0.9468	-0.0933	0.2896	-0.3662	2.9907	-3.7842	-6.6852	-67.1484	38.7323	47.2100	299	472	-186	100806	0.43 
207.892	2015-01-01 00:04:23.400	0.9536	-0.0986	0.3032	0.0610	4.5166	-2.7466	-6.5588	-67.1155	38.4576	47.2100	296	476	-184	100806	0.43 
207.954	2015-01-01 00:04:23.440	0.9512	-0.0869	0.3062	-0.2441	2.1973	-2.5635	-6.4929	-67.0880	38.2709	46.8700	296	478	-183	100806	0.43 
207.986	2015-01-01 00:04:23.480	0.9526	-0.0884	0.2949	0.1221	3.1128	-3.7231	-6.3776	-67.1155	38.0072	46.9200	300	473	-183	100806	0.43 
208.048	2015-01-01 00:04:23.520	0.9492	-0.0913	0.3047	-0.2441	2.9907	-2.9907	-6.2567	-67.1210	37.7600	47.2600	299	475	-181	100806	0.43 
208.079	2015-01-01 00:04:23.560	0.9521	-0.0898	0.2969	-0.4883	2.5024	-2.7466	-6.1908	-67.1484	37.5458	47.0700	299	476	-180	100806	0.43 
208.141	2015-01-01 00:04:23.600	0.9526	-0.0830	0.2939	-0.4883	2.8687	-2.6245	-6.1304	-67.1759	37.3370	47.3500	300	473	-181	100806	0.43 
208.157	2015-01-01 00:04:23.640	0.9507	-0.0898	0.3096	-0.2441	3.7231	-2.6855	-6.0699	-67.1704	37.1503	47.1100	302	474	-183	100806	0.43 
208.188	2015-01-01 00:04:23.680	0.9478	-0.0928	0.3037	-0.3662	2.8687	-2.8076	-6.0150	-67.1594	36.9690	47.2100	301	473	-184	100806	0.43 
208.235	2015-01-01 00:04:23.720	0.9458	-0.0918	0.3008	-0.3052	2.3804	-2.5635	-5.9601	-67.1704	36.7987	47.2100	300	474	-183	100806	0.43 
208.282	2015-01-01 00:04:23.760	0.9517	-0.0898	0.2979	-0.5493	2.9297	-2.0752	-5.9326	-67.1814	36.6614	47.1100	305	472	-183	100806	0.43 
208.360	2015-01-01 00:04:23.800	0.9463	-0.0903	0.3091	-0.3662	3.2959	-1.8921	-5.9326	-67.1649	36.5515	47.1100	305	470	-183	100806	0.43 
208.391	2015-01-01 00:04:23.840	0.9512	-0.0884	0.2998	-0.4272	2.6245	-2.6855	-5.9216	-67.1814	36.4362	47.1100	301	471	-187	100805	0.43 
208.407	2015-01-01 00:04:23.880	0.9414	-0.0938	0.3037	-0.4883	2.7466	-2.2583	-5.8942	-67.1869	36.3098	47.2100	300	469	-186	100806	0.43 
208.454	2015-01-01 00:04:23.920	0.9624	-0.1025	0.2871	-0.9155	3.1738	-2.6855	-5.8997	-67.2089	36.2109	47.2600	300	468	-185	100805	0.43 
208.501	2015-01-01 00:04:23.960	0.9507	-0.0938	0.3125	0.3662	3.7842	-2.6245	-5.8282	-67.1649	36.0461	47.2100	300	473	-185	100806	0.43 
208.548	2015-01-01 00:04:24.000	0.9453	-0.0879	0.3149	-0.4883	2.3193	-2.3804	-5.7898	-67.1594	35.9253	47.3500	303	471	-181	100805	0.43 
208.579	2015-01-01 00:04:24.040	0.9512	-0.0889	0.3032	-0.9155	1.4038	-2.4414	-5.7788	-67.2144	35.8154	47.0700	303	473	-181	100806	0.43 
