StartTime: 2017-08-15 14:07:20.448
3-5-4
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
604.285	0.4443	-0.0332	0.9326	-2.0752	-1.8311	-6.5918	-2.6093	-24.0106	87.2424	51.8100 
604.285	0.4453	-0.0220	0.9224	-2.3804	-2.5635	-5.0659	-2.5983	-24.0491	87.1436	51.8600 
604.301	0.4380	-0.0200	0.9126	-2.7466	-1.5869	-3.2349	-2.6038	-24.0765	87.0612	51.7600 
604.301	0.4238	-0.0308	0.9131	-2.6855	-0.5493	-2.0142	-2.6147	-24.0930	87.0007	51.7600 
604.301	0.4111	-0.0435	0.9150	-2.5024	0.0000	-1.3428	-2.6312	-24.0930	86.9568	51.8100 
604.332	0.4072	-0.0469	0.9175	-2.3193	-0.0610	-2.1362	-2.6532	-24.0930	86.9019	51.6700 
604.332	0.4111	-0.0483	0.9126	-2.1973	0.0000	-3.1128	-2.6642	-24.0985	86.8414	51.4700 
604.332	0.4204	-0.0503	0.9063	-1.3428	0.4272	-3.9673	-2.6697	-24.0985	86.7755	51.8100 
604.363	0.4243	-0.0527	0.9067	-1.3428	1.4648	-4.3335	-2.6642	-24.0930	86.7041	51.6700 
604.363	0.4307	-0.0625	0.9077	-0.9766	1.9531	-4.1504	-2.6642	-24.0875	86.6327	51.6700 
604.395	0.4277	-0.0737	0.9170	-0.6104	2.6245	-4.2725	-2.6587	-24.0710	86.5668	51.8100 
604.395	0.4209	-0.0791	0.9238	-0.1831	2.4414	-5.3711	-2.6532	-24.0491	86.4899	51.6200 
604.395	0.4121	-0.0752	0.9282	-0.1221	1.5259	-5.6152	-2.6422	-24.0326	86.4130	51.6200 
604.410	0.4131	-0.0698	0.9312	0.3662	0.6714	-6.8359	-2.6202	-24.0216	86.3196	51.6700 
604.410	0.4160	-0.0591	0.9336	0.2441	-0.4883	-7.2632	-2.5928	-24.0271	86.2152	51.5700 
604.426	0.4248	-0.0493	0.9399	-0.6104	-1.2817	-6.8359	-2.5708	-24.0436	86.1163	51.6700 
604.426	0.4268	-0.0469	0.9263	-0.6104	-2.4414	-5.9814	-2.5543	-24.0710	86.0229	51.6700 
604.457	0.4277	-0.0405	0.9043	-0.9155	-2.4414	-5.1880	-2.5378	-24.1040	85.9406	51.7600 
604.488	0.4243	-0.0518	0.9009	-1.0986	-1.7090	-4.8828	-2.5323	-24.1315	85.8582	51.7600 
604.488	0.4229	-0.0527	0.8887	-1.3428	-0.9766	-5.3711	-2.5214	-24.1534	85.7813	51.6700 
604.488	0.4204	-0.0557	0.8848	-1.2817	-0.7935	-6.5308	-2.5159	-24.1699	85.6934	51.6200 
604.504	0.4272	-0.0566	0.8779	-0.5493	0.9766	-7.0801	-2.4994	-24.1809	85.6000	51.5700 
604.504	0.4277	-0.0498	0.8867	-0.6104	2.7466	-8.3618	-2.4719	-24.1699	85.4901	51.7600 
604.520	0.4346	-0.0464	0.8960	-0.6714	3.8452	-8.6670	-2.4445	-24.1479	85.3693	51.5700 
604.520	0.4321	-0.0469	0.9146	-0.7935	3.7231	-8.8501	-2.4115	-24.1205	85.2484	51.6700 
604.520	0.4282	-0.0454	0.9199	-0.1831	2.9907	-9.3384	-2.3785	-24.0985	85.1276	51.7600 
604.535	0.4229	-0.0327	0.9268	-0.5493	2.5024	-9.3384	-2.3401	-24.0765	84.9957	51.5700 
604.535	0.4165	-0.0239	0.9292	-0.5493	1.4648	-9.1553	-2.2961	-24.0656	84.8639	51.7600 
604.551	0.4219	-0.0117	0.9243	-0.4272	0.2441	-8.9111	-2.2522	-24.0656	84.7375	51.8100 
604.566	0.4233	-0.0132	0.9272	-0.6104	-0.1831	-8.4839	-2.2137	-24.0710	84.6057	51.8600 
604.598	0.4229	-0.0146	0.9048	-0.8545	0.1831	-7.5684	-2.1753	-24.0765	84.4904	51.7600 
604.598	0.4312	-0.0156	0.9072	-1.2817	0.6714	-7.4463	-2.1478	-24.0820	84.3805	51.4300 
604.613	0.4385	-0.0220	0.8882	-2.4414	2.5024	-7.8735	-2.1313	-24.0765	84.2706	51.8100 
604.613	0.4521	-0.0264	0.8916	-3.2959	5.2490	-7.2021	-2.1204	-24.0491	84.1608	51.7600 
604.613	0.4629	-0.0361	0.9014	-4.2725	7.0801	-5.9204	-2.1313	-23.9996	84.0674	51.5700 
604.629	0.4629	-0.0503	0.8989	-4.8218	7.2632	-5.4932	-2.1588	-23.9502	83.9905	51.8100 
604.629	0.4604	-0.0537	0.9028	-4.3945	7.0801	-4.8218	-2.1863	-23.9008	83.9246	51.7600 
604.660	0.4463	-0.0498	0.8950	-3.9063	7.3853	-4.4556	-2.2137	-23.8458	83.8641	51.5700 
604.660	0.4453	-0.0415	0.8906	-3.2959	7.6294	-4.8218	-2.2302	-23.7854	83.7927	51.8100 
604.660	0.4438	-0.0308	0.8833	-2.8687	7.9346	-5.5542	-2.2357	-23.7250	83.7158	51.5700 
604.691	0.4497	-0.0254	0.8774	-2.3193	8.9111	-5.6763	-2.2302	-23.6646	83.6334	51.7600 
604.691	0.4531	-0.0200	0.8662	-2.3804	10.1318	-5.5542	-2.2192	-23.5931	83.5455	51.8100 
604.691	0.4648	-0.0205	0.8647	-1.7090	10.8032	-5.0659	-2.2083	-23.5162	83.4686	51.7600 
604.723	0.4619	-0.0264	0.8740	-1.5869	12.6953	-4.0894	-2.2028	-23.4229	83.3972	51.7600 
604.723	0.4565	-0.0430	0.9033	-1.8921	14.0991	-3.9673	-2.2028	-23.3130	83.3368	51.5700 
604.723	0.4473	-0.0566	0.9209	-1.6479	13.3667	-5.5542	-2.2028	-23.1921	83.2709	51.8100 
604.738	0.4409	-0.0571	0.9326	-1.8311	13.0615	-7.6294	-2.1973	-23.0768	83.1830	51.6700 
604.754	0.4448	-0.0542	0.9468	-2.3193	12.3901	-9.8877	-2.1808	-22.9669	83.0621	51.8100 
604.754	0.4448	-0.0581	0.9438	-2.1973	10.8032	-10.0098	-2.1643	-22.8735	82.9468	51.9500 
604.754	0.4355	-0.0508	0.9492	-2.3804	9.7656	-10.3760	-2.1478	-22.7911	82.8259	51.6700 
604.770	0.4219	-0.0435	0.9414	-1.8921	8.1787	-9.9487	-2.1313	-22.7197	82.7051	51.6700 
604.770	0.4048	-0.0522	0.9185	-1.4648	7.3853	-9.8877	-2.1149	-22.6538	82.5897	51.6200 
604.785	0.4053	-0.0439	0.9043	-1.0986	7.1411	-10.3760	-2.0874	-22.5934	82.4689	51.8100 
604.832	0.4092	-0.0293	0.9009	-0.6104	6.9580	-11.5356	-2.0435	-22.5385	82.3370	51.6200 
604.832	0.4248	-0.0078	0.9063	0.1221	7.1411	-11.3525	-1.9885	-22.4835	82.1942	51.8100 
604.832	0.4355	-0.0015	0.9102	0.1831	6.7139	-11.4136	-1.9281	-22.4341	82.0459	51.7600 
604.863	0.4512	0.0088	0.9248	0.4883	5.4321	-10.8643	-1.8677	-22.4011	81.9031	51.5700 
604.863	0.4629	0.0142	0.9351	1.0376	4.2114	-9.0332	-1.8018	-22.3846	81.7712	51.7600 
604.863	0.4575	0.0020	0.9321	1.2817	3.7842	-6.6528	-1.7468	-22.3737	81.6724	51.6700 
604.863	0.4331	-0.0098	0.9297	1.7090	3.6011	-5.3711	-1.6974	-22.3572	81.5955	51.7600 
604.863	0.4097	-0.0215	0.9404	1.8311	3.2959	-4.5776	-1.6589	-22.3297	81.5295	51.7600 
604.895	0.3921	-0.0298	0.9429	1.8311	2.1362	-5.6763	-1.6150	-22.3132	81.4636	51.6200 
604.910	0.3838	-0.0317	0.9365	1.8311	0.6714	-6.9580	-1.5765	-22.3022	81.3867	51.8100 
604.910	0.3906	-0.0342	0.9287	1.7090	-0.2441	-7.9346	-1.5326	-22.3077	81.3043	51.8100 
604.910	0.4019	-0.0220	0.9155	1.4648	-0.7324	-8.1787	-1.4832	-22.3242	81.2054	51.6200 
604.926	0.4072	-0.0161	0.9102	1.4648	-0.8545	-7.5073	-1.4337	-22.3462	81.1176	51.8600 
604.926	0.4053	-0.0220	0.9038	1.3428	-0.1831	-6.5918	-1.3898	-22.3572	81.0406	51.7600 
604.942	0.4053	-0.0146	0.9097	1.8311	0.0000	-6.7139	-1.3458	-22.3737	80.9583	51.6700 
604.973	0.3975	-0.0200	0.9097	2.3193	-0.4272	-6.7749	-1.2964	-22.3846	80.8813	51.6700 
604.973	0.3975	-0.0195	0.9014	2.6245	0.0610	-7.2632	-1.2415	-22.3956	80.7990	51.6700 
604.988	0.3989	-0.0161	0.8989	2.8076	-0.1831	-7.0190	-1.1865	-22.4066	80.7166	51.7600 
604.988	0.3989	-0.0117	0.8838	2.9297	0.3052	-6.2866	-1.1261	-22.4176	80.6396	51.6700 
605.004	0.4082	-0.0063	0.8662	3.2959	1.5259	-5.3101	-1.0657	-22.4231	80.5682	51.8100 
605.004	0.4097	-0.0117	0.8682	3.6621	2.5024	-4.1504	-1.0107	-22.4176	80.5133	51.7600 
605.004	0.4072	-0.0083	0.8667	3.7231	3.2349	-2.9297	-0.9558	-22.4011	80.4749	51.7600 
605.020	0.4067	-0.0117	0.8584	4.6997	4.6387	-2.3193	-0.9009	-22.3792	80.4419	51.9500 
605.067	0.4048	-0.0181	0.8608	5.3711	5.5542	-1.9531	-0.8405	-22.3407	80.4144	51.7600 
605.067	0.3857	-0.0220	0.8716	6.1035	6.0425	-0.6714	-0.7800	-22.2968	80.4034	51.6700 
605.067	0.3735	-0.0361	0.8599	6.7749	7.0801	-0.5493	-0.7196	-22.2363	80.3979	51.7600 
605.067	0.3594	-0.0586	0.8599	7.9346	9.2773	-1.0376	-0.6592	-22.1539	80.4034	51.6700 
605.067	0.3574	-0.0610	0.8735	8.2397	12.5732	-3.2959	-0.5823	-22.0386	80.3815	51.7600 
605.098	0.3696	-0.0532	0.8926	8.6670	16.2354	-5.3101	-0.4944	-21.8848	80.3375	51.7600 
605.098	0.3970	-0.0400	0.9385	8.5449	18.3716	-5.9814	-0.4010	-21.7145	80.2826	51.6200 
605.098	0.4380	-0.0225	0.9575	8.1787	19.2261	-5.5542	-0.3021	-21.5387	80.2167	51.5700 
605.145	0.4771	-0.0132	0.9766	7.3853	18.7988	-3.6011	-0.2142	-21.3739	80.1672	51.6700 
605.145	0.4985	0.0015	0.9609	6.5308	17.5171	-0.2441	-0.1428	-21.2311	80.1453	51.8100 
605.145	0.4858	0.0078	0.9248	5.3101	16.4795	4.4556	-0.0934	-21.1047	80.1672	51.7600 
605.160	0.4546	-0.0132	0.8770	4.0894	16.4185	8.0566	-0.0824	-20.9784	80.2386	51.7600 
605.160	0.4370	-0.0371	0.8647	2.9297	18.8599	8.2397	-0.0934	-20.8301	80.3265	51.6700 
605.160	0.4438	-0.0488	0.8564	2.3804	21.4844	7.0801	-0.1099	-20.6598	80.4144	51.5700 
605.176	0.4536	-0.0459	0.8823	2.8076	23.0713	6.7749	-0.1263	-20.4730	80.4913	51.5700 
605.176	0.4883	-0.0640	0.9111	3.0518	22.9492	6.7139	-0.1428	-20.2917	80.5737	51.8100 
605.207	0.5127	-0.0654	0.9497	3.0518	20.7520	7.2632	-0.1593	-20.1270	80.6616	51.7600 
605.207	0.5229	-0.0640	0.9565	3.1128	17.2119	8.9722	-0.1813	-20.0006	80.7605	51.6200 
605.223	0.4985	-0.0596	0.9541	2.9907	14.2212	10.7422	-0.2087	-19.8962	80.8813	51.8600 
605.223	0.4722	-0.0562	0.9351	2.7466	12.4512	11.7798	-0.2417	-19.8083	81.0077	51.6700 
605.270	0.4424	-0.0718	0.9141	2.1362	11.1694	11.1694	-0.2802	-19.7314	81.1395	51.8600 
605.270	0.4185	-0.0786	0.8848	2.1362	11.5356	8.6670	-0.3186	-19.6545	81.2494	51.6700 
605.270	0.4194	-0.0732	0.8584	1.8311	12.6343	5.8594	-0.3461	-19.5667	81.3263	51.6700 
605.301	0.4136	-0.0625	0.8354	1.5259	14.8926	4.0894	-0.3680	-19.4623	81.3867	51.6700 
605.301	0.4033	-0.0601	0.8472	1.7700	14.8315	2.9907	-0.3845	-19.3524	81.4252	51.7600 
605.301	0.3979	-0.0723	0.8584	1.4038	14.4653	1.0986	-0.4010	-19.2426	81.4526	51.8600 
605.301	0.4082	-0.0547	0.8730	1.0986	14.2822	-1.4038	-0.4065	-19.1382	81.4471	51.7600 
605.332	0.4136	-0.0508	0.8726	0.5493	13.4277	-1.8921	-0.4065	-19.0393	81.4307	51.7600 
605.332	0.3994	-0.0610	0.8638	1.0986	12.8784	-0.5493	-0.4175	-18.9404	81.4252	51.6200 
605.332	0.3853	-0.0674	0.8477	0.7935	14.1602	0.3662	-0.4340	-18.8361	81.4362	51.7600 
605.332	0.3789	-0.0552	0.8491	0.4883	16.1743	0.9155	-0.4504	-18.7097	81.4471	51.7600 
605.379	0.3945	-0.0396	0.8716	0.7935	17.0898	1.4648	-0.4614	-18.5724	81.4581	51.6200 
605.379	0.4019	-0.0239	0.8862	1.0376	16.2964	3.1738	-0.4669	-18.4460	81.4801	52.0000 
605.379	0.4126	-0.0059	0.8940	1.5259	15.0146	4.6997	-0.4724	-18.3307	81.5076	51.8100 
605.395	0.4204	0.0010	0.9141	1.8311	13.0005	6.7749	-0.4724	-18.2318	81.5570	51.8600 
605.395	0.4204	-0.0088	0.9180	2.8076	11.3525	8.2397	-0.4724	-18.1494	81.6229	51.7600 
605.410	0.4160	-0.0200	0.9087	3.2349	10.3149	9.7656	-0.4779	-18.0835	81.7108	51.7600 
605.410	0.4160	-0.0269	0.9111	3.7231	10.4980	11.1694	-0.4779	-18.0176	81.8097	51.8100 
605.410	0.4204	-0.0381	0.9194	5.0049	10.6201	11.3525	-0.4779	-17.9462	81.9196	51.8600 
605.442	0.4268	-0.0439	0.9307	5.3711	10.4370	11.5356	-0.4779	-17.8802	82.0349	52.0000 
605.442	0.4370	-0.0386	0.9297	5.8594	9.5825	12.6953	-0.4724	-17.8253	82.1613	51.6700 
605.442	0.4399	-0.0361	0.9258	5.2490	9.2773	13.3667	-0.4724	-17.7759	82.2931	51.8600 
605.473	0.4458	-0.0503	0.9253	4.5166	9.1553	14.8926	-0.4889	-17.7264	82.4469	51.7600 
605.504	0.4355	-0.0708	0.9341	5.0659	8.7280	15.9912	-0.5054	-17.6825	82.6117	51.8100 
605.504	0.4214	-0.0889	0.9409	6.4697	7.5684	15.6250	-0.5219	-17.6440	82.7875	51.8600 
605.504	0.4233	-0.1021	0.9370	7.4463	5.4932	12.6343	-0.5273	-17.6221	82.9468	51.6700 
605.504	0.4497	-0.1094	0.9277	8.1177	4.8218	10.5591	-0.5164	-17.6166	83.0786	51.8100 
605.520	0.4639	-0.1040	0.9209	7.7515	6.1646	10.7422	-0.5054	-17.6111	83.1995	51.7600 
605.520	0.4814	-0.1162	0.9482	6.5918	8.3618	10.6812	-0.5054	-17.5891	83.3313	51.8600 
605.551	0.4917	-0.1187	0.9814	5.4321	10.3760	9.3384	-0.5109	-17.5452	83.4467	51.6200 
605.551	0.5093	-0.1162	1.0195	4.0894	10.6201	8.2397	-0.5273	-17.4902	83.5510	51.7600 
605.567	0.5190	-0.1138	1.0488	3.9063	10.4370	8.1177	-0.5493	-17.4353	83.6499	51.6700 
605.567	0.5317	-0.1089	1.0654	2.9907	8.6670	7.6294	-0.5713	-17.4023	83.7433	51.8600 
605.582	0.5444	-0.1064	1.0776	2.9907	7.2021	6.7749	-0.5878	-17.3804	83.8257	52.1000 
605.582	0.5425	-0.0791	1.0747	2.6855	5.3101	7.0801	-0.6042	-17.3804	83.8971	51.9500 
605.582	0.5464	-0.0913	1.0723	1.0986	2.5024	7.5684	-0.6372	-17.4023	83.9795	52.0000 
605.598	0.5454	-0.0864	1.0781	0.3662	-1.1597	8.4839	-0.6812	-17.4628	84.0674	51.8100 
605.598	0.5229	-0.0493	1.0762	-0.2441	-4.9438	10.1929	-0.7251	-17.5507	84.1608	51.7600 
605.598	0.5073	-0.0200	1.0830	-0.3662	-6.4697	13.7939	-0.7745	-17.6550	84.2816	51.8100 
605.598	0.4941	-0.0161	1.1216	0.4272	-9.2163	15.1367	-0.8240	-17.7759	84.4189	51.8100 
605.629	0.4932	-0.0684	1.1470	1.2817	-10.3149	14.1602	-0.8734	-17.9077	84.5618	51.8100 
605.676	0.4976	-0.0908	1.1504	2.0142	-9.9487	10.0708	-0.9064	-18.0396	84.6771	52.0000 
605.676	0.4355	-0.0811	1.1797	0.1221	-12.4512	7.8735	-0.9448	-18.1714	84.7595	51.6700 
605.676	0.3618	-0.0981	1.1914	-2.1973	-16.4185	6.8359	-1.0052	-18.3197	84.8309	52.0000 
605.707	0.2866	-0.1235	1.1714	-5.1270	-17.5781	5.3711	-1.0986	-18.4735	84.8969	51.7600 
605.707	0.1997	-0.0903	1.1372	-6.8359	-17.0898	4.9438	-1.2085	-18.5944	84.9463	51.8600 
605.707	0.1172	-0.0303	1.0698	-7.3242	-17.2119	6.7139	-1.3074	-18.6987	84.9847	51.8100 
605.707	0.0479	0.0532	1.0137	-6.1646	-14.6484	8.7891	-1.3733	-18.7646	85.0012	51.9500 
605.723	-0.0063	0.1084	0.9912	-4.4556	-11.4136	11.4136	-1.4008	-18.7811	85.0012	51.9500 
605.723	-0.0239	0.1353	0.9561	-1.1597	-9.2163	11.3525	-1.3843	-18.7701	84.9847	52.0000 
605.723	-0.0215	0.1704	0.9429	2.6245	-6.0425	10.4370	-1.3074	-18.7317	84.9298	52.0000 
605.754	-0.0176	0.2202	0.9399	5.9204	-2.0752	12.3901	-1.1810	-18.6658	84.8694	51.9500 
605.754	0.0024	0.2549	0.9624	8.9722	1.8311	15.5640	-1.0217	-18.5669	84.8364	51.6700 
605.754	0.0210	0.2642	0.9863	11.1084	4.6997	20.2637	-0.8569	-18.4460	84.8474	51.6700 
605.785	0.0430	0.2388	1.0083	12.8174	5.2490	24.4751	-0.7031	-18.3197	84.9188	51.8100 
605.785	0.0713	0.2056	1.0342	13.7329	3.9063	28.3813	-0.5603	-18.2043	85.0507	51.9500 
605.801	0.1201	0.1699	1.0327	15.0146	3.3569	30.8228	-0.4340	-18.1055	85.2319	52.0000 
605.801	0.1670	0.1250	1.0317	15.8691	3.2959	34.4849	-0.3296	-18.0231	85.4736	51.8600 
605.817	0.2188	0.0674	1.0298	17.2119	1.2207	35.8887	-0.2417	-17.9681	85.7648	51.7600 
605.817	0.2671	0.0239	1.0156	17.7002	1.5869	35.8276	-0.1703	-17.9297	86.0834	51.8100 
605.832	0.2847	-0.0078	1.0371	18.0664	-0.4272	36.8042	-0.0989	-17.9077	86.4185	52.1000 
605.879	0.3018	-0.0479	1.0283	17.0288	-3.7842	35.0952	-0.0549	-17.9297	86.7590	52.0000 
605.879	0.3027	-0.0737	0.9927	15.6250	-7.0801	32.7148	-0.0275	-17.9846	87.0831	51.8600 
605.895	0.2930	-0.1011	0.9380	13.6719	-8.9722	31.4941	-0.0220	-18.0670	87.4017	51.7600 
605.927	0.2925	-0.1182	0.8877	11.9629	-9.6436	28.5034	-0.0385	-18.1604	87.7039	51.8600 
605.927	0.2974	-0.1245	0.8555	9.9487	-8.9111	25.0244	-0.0659	-18.2538	87.9785	51.8100 
605.927	0.3052	-0.1196	0.8237	7.9346	-8.1177	21.8506	-0.1044	-18.3472	88.2092	51.8100 
605.927	0.3081	-0.1152	0.8115	6.2866	-7.0801	18.2495	-0.1483	-18.4296	88.4125	52.1900 
605.927	0.3135	-0.1040	0.8174	4.2114	-7.3242	13.4277	-0.1923	-18.5175	88.5553	51.8100 
605.927	0.3242	-0.0918	0.8164	1.9531	-8.6670	8.9722	-0.2417	-18.6163	88.6432	52.0000 
605.958	0.3315	-0.0840	0.8096	0.0610	-9.0332	4.0894	-0.2856	-18.7262	88.6816	52.0000 
605.958	0.3506	-0.0703	0.8003	-1.7700	-9.5215	0.4883	-0.3351	-18.8416	88.6707	51.8600 
605.958	0.3716	-0.0493	0.7979	-3.6621	-10.2539	-2.8687	-0.3790	-18.9789	88.6157	52.1000 
605.989	0.3916	-0.0342	0.7979	-5.2490	-11.4136	-5.2490	-0.4285	-19.1327	88.5333	51.8100 
606.004	0.4009	-0.0078	0.8105	-6.2866	-12.8174	-6.4697	-0.4724	-19.2975	88.4235	51.8100 
606.020	0.4009	0.0117	0.8247	-7.0801	-14.0991	-6.3477	-0.5164	-19.4733	88.3026	52.0000 
606.020	0.3960	0.0244	0.8223	-8.3008	-14.1602	-7.5684	-0.5658	-19.6545	88.1708	52.0000 
606.020	0.3853	0.0166	0.8184	-8.7891	-12.8174	-8.7891	-0.6152	-19.8248	88.0280	51.8100 
606.052	0.3882	0.0137	0.8120	-8.7280	-11.8408	-10.9863	-0.6537	-19.9786	87.8632	52.0000 
606.052	0.4048	0.0146	0.8203	-8.2397	-10.3760	-13.9771	-0.6866	-20.1270	87.6764	51.9500 
606.052	0.4204	0.0200	0.8276	-7.9346	-10.9863	-16.2354	-0.7031	-20.2753	87.4567	51.8600 
606.052	0.4209	0.0225	0.8169	-7.7515	-11.8408	-15.3809	-0.7141	-20.4346	87.2424	52.0000 
606.098	0.3989	0.0269	0.8027	-7.7515	-12.3901	-13.6108	-0.7251	-20.5994	87.0392	52.1000 
606.114	0.3584	0.0020	0.7876	-8.6060	-12.2681	-13.3057	-0.7526	-20.7532	86.8524	52.1000 
606.114	0.3286	-0.0059	0.7476	-9.3384	-9.8877	-15.1978	-0.7855	-20.8795	86.6547	52.1000 
606.145	0.3052	-0.0137	0.7388	-10.2539	-6.7139	-16.1133	-0.8295	-20.9674	86.4459	51.9500 
606.145	0.3003	-0.0269	0.7451	-11.5356	-3.8452	-17.8223	-0.8844	-21.0223	86.2372	52.0000 
606.145	0.3208	-0.0337	0.7900	-12.3291	-1.8311	-22.9492	-0.9283	-21.0498	85.9790	52.0000 
606.145	0.3887	-0.0205	0.8574	-13.0005	-1.1597	-29.2358	-0.9558	-21.0828	85.6549	52.1900 
606.145	0.4971	-0.0063	0.9712	-13.3057	-2.3804	-34.7290	-0.9613	-21.1377	85.2649	51.8600 
606.145	0.6279	0.0166	1.0986	-12.2070	-6.5308	-38.8794	-0.9283	-21.2476	84.8309	52.0000 
606.145	0.7402	0.0635	1.2339	-10.0708	-14.0381	-39.3066	-0.8679	-21.4288	84.3695	52.1400 
606.145	0.7764	0.0796	1.2886	-7.3853	-24.0479	-33.4473	-0.7910	-21.7035	83.9575	52.0000 
606.176	0.7363	0.1157	1.2417	-5.3101	-30.3955	-22.7051	-0.7141	-22.0551	83.6389	52.0000 
606.176	0.6421	0.1279	1.1406	-4.3335	-30.9448	-13.4888	-0.6647	-22.4176	83.4302	52.0000 
606.176	0.5645	0.1157	1.0415	-2.8687	-25.5127	-7.0190	-0.6262	-22.7307	83.2928	51.9500 
606.224	0.5244	0.1265	0.9834	-2.3193	-17.1509	-6.2866	-0.5823	-22.9559	83.1720	52.0000 
606.224	0.5435	0.1416	0.9897	-1.7700	-10.4980	-6.1646	-0.5273	-23.1097	83.0457	51.8600 
606.239	0.5830	0.1538	1.0371	-1.4648	-5.8594	-5.1270	-0.4724	-23.2141	82.9248	52.1900 
606.239	0.6064	0.1450	1.1611	-1.1597	-5.4932	-3.1738	-0.4285	-23.2965	82.8314	52.1000 
606.239	0.6313	0.0850	1.2871	-1.2817	-8.6060	-3.0518	-0.4010	-23.3954	82.7545	52.1000 
606.254	0.6187	0.0361	1.3940	-0.0610	-14.5264	0.7324	-0.3845	-23.5327	82.7216	52.1000 
606.270	0.5596	-0.0298	1.4229	1.0986	-20.8130	3.5400	-0.3900	-23.7140	82.7380	52.0000 
606.270	0.4927	-0.0864	1.3320	0.9766	-24.4751	3.3569	-0.4175	-23.9337	82.7765	52.1400 
606.301	0.4238	-0.0327	1.1489	1.3428	-22.8882	3.5400	-0.4285	-24.1479	82.8040	52.1400 
606.301	0.3472	-0.0410	1.0020	0.6714	-17.2729	9.2163	-0.4614	-24.3073	82.8754	51.7600 
606.301	0.2461	-0.1113	0.9131	0.1221	-13.1226	11.6577	-0.5493	-24.3951	83.0127	51.8600 
606.333	0.1289	-0.1792	0.8525	-0.5493	-13.9771	10.4980	-0.6702	-24.4501	83.1885	52.0000 
606.333	0.0034	-0.2666	0.7739	-2.9297	-16.2354	3.5400	-0.8459	-24.4885	83.3972	52.1400 
606.333	-0.0703	-0.3350	0.6841	-6.3477	-14.5264	-7.9346	-1.0822	-24.5215	83.5950	52.0000 
606.333	-0.0845	-0.4121	0.6484	-8.3618	-9.2773	-24.7192	-1.3184	-24.5435	83.7103	52.1000 
606.364	-0.0503	-0.4175	0.6538	-12.2681	2.6245	-40.9546	-1.5216	-24.4775	83.6279	52.0000 
606.364	0.0293	-0.3765	0.7695	-16.5405	14.4653	-55.6641	-1.6479	-24.2908	83.3093	52.0000 
606.364	0.1694	-0.2915	0.9365	-18.9819	21.8506	-66.1621	-1.6699	-24.0271	82.7490	52.0000 
606.379	0.2686	-0.1675	1.0811	-19.5313	19.8975	-67.6880	-1.6205	-23.7744	82.0569	52.0000 
606.395	0.3062	-0.0674	1.1646	-17.9443	10.3149	-61.5234	-1.5436	-23.6096	81.3702	52.1400 
606.395	0.2915	0.0029	1.1553	-15.3809	-0.4272	-54.5654	-1.4557	-23.5492	80.7330	52.1400 
606.395	0.2500	0.0630	1.0918	-13.3057	-5.9204	-48.7671	-1.3458	-23.5492	80.1398	52.1900 
606.410	0.2197	0.1030	1.0278	-10.4370	-4.8828	-44.1895	-1.2195	-23.5492	79.5795	52.1000 
606.426	0.2178	0.1343	0.9829	-8.6060	0.0000	-41.6260	-1.0657	-23.5107	79.0411	52.1900 
606.426	0.2471	0.1494	0.9639	-6.2256	3.9063	-40.3442	-0.8899	-23.4338	78.5138	52.0000 
606.457	0.2827	0.1675	0.9624	-3.9673	4.8828	-38.3911	-0.6976	-23.3514	78.0084	52.1000 
606.457	0.3203	0.1733	0.9458	-1.2817	2.6245	-33.9355	-0.4944	-23.2965	77.5525	52.0000 
606.457	0.3276	0.1685	0.9189	1.0376	-0.2441	-28.0151	-0.2911	-23.2690	77.1625	51.9500 
606.504	0.3174	0.1489	0.8984	3.2349	-3.7842	-20.9351	-0.1044	-23.2800	76.8549	52.1000 
606.535	0.2974	0.1123	0.8618	4.9438	-6.8970	-15.5029	0.0549	-23.3240	76.6241	52.1400 
606.535	0.2837	0.0776	0.8140	6.2866	-7.1411	-11.6577	0.2032	-23.3679	76.4539	52.1900 
606.535	0.2861	0.0444	0.7935	7.2632	-5.2490	-8.5449	0.3351	-23.4064	76.3330	52.1400 
606.535	0.3003	0.0293	0.7700	7.8735	-3.2959	-5.0659	0.4559	-23.4283	76.2616	52.1400 
606.535	0.3140	0.0107	0.7700	9.2773	-1.5869	-2.1362	0.5603	-23.4338	76.2341	52.0000 
606.551	0.3301	0.0034	0.7729	9.7656	-1.2817	1.3428	0.6537	-23.4448	76.2451	52.1000 
606.551	0.3418	-0.0151	0.7769	10.0708	-1.9531	3.4790	0.7306	-23.4668	76.2946	52.1000 
606.582	0.3516	-0.0317	0.7822	10.0098	-3.0518	4.6387	0.7965	-23.4998	76.3660	52.1400 
606.582	0.3608	-0.0415	0.7935	10.0708	-4.7607	5.0659	0.8569	-23.5492	76.4484	52.0000 
606.582	0.3794	-0.0625	0.7988	9.7046	-7.5073	5.9814	0.9009	-23.6261	76.5472	51.9500 
606.598	0.3862	-0.0684	0.8184	9.5215	-11.3525	6.0425	0.9393	-23.7415	76.6516	51.9500 
606.598	0.3813	-0.0708	0.8076	9.1553	-15.6860	7.0190	0.9668	-23.8953	76.7670	51.8600 
606.598	0.3774	-0.0757	0.7827	8.0566	-19.2871	7.8735	0.9833	-24.0930	76.8878	52.1000 
