StartTime: 2017-07-14 14:47:44.458
Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
237.632	-0.1606	0.0166	1.0190	-0.1221	0.1831	0.9155	0.7526	8.4210	95.9985	44.4900	226	-18	-67	100558	0.64 
237.679	-0.1567	0.0190	1.0063	-0.3052	-0.0610	0.9766	0.7581	8.4375	95.9821	44.5000	225	-18	-68	100559	0.64 
237.741	-0.1519	0.0171	1.0181	-0.1831	1.8311	0.5493	0.7635	8.6353	95.9711	44.5000	224	-20	-67	100559	0.64 
237.851	-0.1724	0.0181	1.0215	-0.2441	1.7700	0.6714	0.7581	8.8879	95.9821	44.5100	226	-15	-67	100559	0.64 
237.882	-0.1699	0.0195	1.0195	-0.1221	0.7935	1.0986	0.7581	8.9923	95.9875	44.5100	224	-19	-65	100559	0.64 
238.023	-0.1675	0.0205	1.0161	-0.5493	0.9155	0.9155	0.7416	9.0527	95.9656	44.5100	222	-20	-66	100559	0.64 
238.085	-0.1709	0.0151	1.0137	-0.6104	0.1221	0.6714	0.7141	9.1296	95.9711	44.5200	223	-19	-65	100559	0.64 
238.226	-0.1709	0.0195	1.0151	-0.3052	0.2441	1.2207	0.7031	9.1791	95.9656	44.5300	225	-19	-65	100559	0.64 
238.288	-0.1743	0.0156	1.0156	0.2441	0.0000	0.9155	0.7141	9.2450	95.9821	44.5300	223	-18	-64	100559	0.64 
238.429	-0.1733	0.0283	1.0566	1.0376	4.9438	3.5400	0.8075	9.3988	96.0370	44.5400	226	-17	-62	100559	0.64 
238.507	-0.2383	0.0313	1.0889	-6.1035	-9.4604	-6.3477	0.5603	9.3549	95.8228	44.5200	227	-19	-66	100559	0.64 
238.632	-0.1860	0.0229	0.9951	-6.8359	-34.6680	-3.1128	-0.2362	6.8994	95.3668	44.5100	220	-17	-67	100559	0.64 
238.726	-0.2549	0.0347	1.0781	-11.9019	-60.5469	2.1362	-0.9393	3.2355	95.4382	44.5400	215	-14	-79	100559	0.64 
238.851	-0.0107	0.0029	1.0801	-15.3809	-84.7168	8.2397	-2.1149	-4.0869	95.5811	44.5100	201	-12	-99	100559	0.64 
238.913	0.1733	-0.0229	0.8394	-21.3013	-88.1348	-1.0986	-3.9001	-13.0298	96.5424	44.5100	174	-8	-125	100559	0.64 
239.070	0.3184	0.0625	0.8965	-29.2358	-88.8062	27.6489	-6.6357	-21.3904	97.7234	44.5000	144	-4	-147	100559	0.64 
239.179	0.5952	-0.2104	0.8418	-31.9214	-104.3701	31.7993	-11.7389	-30.4102	102.3651	44.5000	114	0	-163	100559	0.64 
239.242	0.9077	-0.3730	0.5327	-32.8979	-94.3604	9.8267	-18.6877	-40.2319	108.0450	44.4900	77	7	-180	100559	0.64 
239.320	1.0234	-0.3135	0.3999	-18.6768	-74.7681	2.6245	-23.7305	-47.6422	111.3080	44.4700	47	20	-188	100558	0.64 
239.492	0.8594	-0.3252	0.3203	-12.4512	-37.7197	-3.2959	-28.0371	-52.1191	114.8785	44.4700	22	23	-185	100558	0.64 
239.570	0.9331	-0.3452	0.2036	-0.9766	-16.7236	-4.9438	-31.0583	-53.9978	117.3230	44.4600	12	28	-187	100558	0.64 
239.663	0.8350	-0.3896	0.4346	2.0142	8.6060	8.5449	-29.4653	-53.5144	115.5927	44.4400	11	30	-188	100558	0.64 
239.773	0.8433	-0.2710	0.5693	4.3335	26.1230	-8.9722	-27.6416	-52.3718	113.7634	44.4300	11	28	-188	100558	0.64 
239.898	0.7734	-0.2695	0.5571	0.6104	-6.8359	-0.5493	-26.9110	-51.3336	112.8241	44.4500	20	28	-190	100558	0.64 
239.976	0.8047	-0.2607	0.5781	0.4272	-0.4883	-1.5259	-26.2903	-51.6577	112.1594	44.4400	19	26	-191	100558	0.64 
240.101	0.7642	-0.2524	0.5801	-0.9155	-2.3804	-3.2349	-26.4276	-51.6357	112.1979	44.4300	23	24	-185	100558	0.64 
240.257	0.8237	-0.2593	0.5405	-0.6104	0.3662	2.3193	-26.3397	-52.0972	112.0166	44.4400	17	25	-186	100558	0.64 
240.336	0.8076	-0.2754	0.5557	-0.1221	0.6104	0.9766	-26.5814	-51.9763	112.2363	44.4400	18	25	-189	100558	0.64 
