StartTime: 2017-07-21 14:44:36.915
Time(s)	ChipTime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	hx	hy	hz	Pressure(Pa)	Altitude(m) 
8.314	2015-01-01 00:02:15.000	-0.1875	0.0801	0.9995	-1.0986	2.0752	-2.6245	2.8345	14.5020	27.5757	49.8400	436	435	-224	100818	0.42 
8.314	2015-01-01 00:02:15.040	-0.1855	0.0771	1.0010	-0.3662	2.4414	-2.5024	2.8290	14.4965	27.8064	49.8400	435	436	-224	100819	0.42 
8.360	2015-01-01 00:02:15.080	-0.1875	0.0747	1.0068	-0.7324	2.7466	-3.1128	2.8235	14.5184	28.0151	49.7500	442	435	-225	100818	0.42 
8.391	2015-01-01 00:02:15.120	-0.1870	0.0845	0.9990	-1.0376	2.9297	-2.1973	2.8180	14.5404	28.2404	49.8900	443	432	-223	100819	0.42 
8.438	2015-01-01 00:02:15.160	-0.1855	0.0986	1.0088	-1.4648	3.7231	-0.9155	2.8235	14.6063	28.4930	49.8900	443	433	-225	100818	0.42 
8.501	2015-01-01 00:02:15.200	-0.1895	0.1021	0.9976	-0.9766	3.4180	1.0986	2.8619	14.6393	28.8336	50.0400	444	433	-226	100818	0.42 
8.532	2015-01-01 00:02:15.240	-0.1904	0.0991	0.9897	-1.5869	5.2490	2.3804	2.9114	14.7107	29.2072	50.0400	445	433	-227	100818	0.42 
8.563	2015-01-01 00:02:15.280	-0.1885	0.0576	1.0200	0.4272	5.7983	1.0376	2.9608	14.8425	29.6136	49.9900	444	433	-226	100818	0.42 
8.610	2015-01-01 00:02:15.320	-0.1938	0.0693	1.0024	-0.6104	2.1362	-4.7607	2.9718	14.8975	29.8169	49.8400	442	432	-224	100819	0.42 
8.673	2015-01-01 00:02:15.360	-0.1914	0.0688	1.0005	-2.2583	0.5493	-7.6904	2.8674	14.8755	29.8334	50.0400	442	432	-224	100818	0.42 
8.705	2015-01-01 00:02:15.400	-0.1812	0.1001	0.9990	-2.2583	-2.1362	-8.9111	2.7411	14.7656	29.7784	49.7500	442	432	-225	100818	0.42 
8.736	2015-01-01 00:02:15.440	-0.1729	0.0918	1.0020	-2.0142	0.1831	-8.9111	2.6422	14.6228	29.6906	49.8900	443	434	-226	100818	0.42 
8.767	2015-01-01 00:02:15.480	-0.1870	0.0996	1.0000	-1.7090	1.2207	-8.6670	2.5433	14.5844	29.6191	49.8400	443	436	-227	100818	0.42 
8.813	2015-01-01 00:02:15.520	-0.1768	0.0884	0.9844	-0.6714	2.6855	-10.9863	2.4774	14.5624	29.4928	49.8900	439	435	-225	100818	0.42 
8.845	2015-01-01 00:02:15.560	-0.1938	0.0874	0.9927	-2.0752	4.3335	-14.6484	2.3730	14.6613	29.2621	50.0400	440	435	-224	100818	0.42 
8.907	2015-01-01 00:02:15.600	-0.2109	0.0991	0.9893	-2.1973	4.0283	-15.5029	2.2028	14.7711	28.9160	49.6500	440	434	-224	100818	0.42 
8.938	2015-01-01 00:02:15.640	-0.2446	0.1099	0.9941	-2.5635	5.7373	-12.3291	2.0764	14.9689	28.6359	49.9900	440	433	-224	100818	0.42 
8.970	2015-01-01 00:02:15.680	-0.2788	0.0815	0.9590	-2.5635	5.1270	-12.0850	1.9281	15.2216	28.4216	50.0400	440	434	-226	100818	0.42 
9.017	2015-01-01 00:02:15.720	-0.2261	-0.0190	0.9395	-2.4414	-0.0610	-21.4844	1.6754	15.3369	28.0371	49.8900	439	436	-226	100818	0.42 
9.048	2015-01-01 00:02:15.760	-0.1499	-0.0322	1.0879	-5.5542	2.4414	-23.8647	1.1426	15.2380	27.3505	50.0400	437	436	-226	100818	0.42 
9.111	2015-01-01 00:02:15.800	-0.0986	0.0879	1.0566	-3.8452	-11.6577	-28.3203	0.7361	14.9030	26.6968	50.0400	439	439	-224	100818	0.42 
9.157	2015-01-01 00:02:15.840	0.0532	0.1230	1.0620	-7.5073	9.3384	-1.8921	0.5328	14.3921	26.4771	49.6500	441	441	-224	100818	0.42 
9.188	2015-01-01 00:02:15.880	-0.0527	0.1499	0.9688	-11.4746	23.6816	7.5684	0.4669	14.8810	27.1307	49.7500	439	441	-225	100818	0.42 
9.220	2015-01-01 00:02:15.920	-0.0806	0.0410	0.9004	-15.9912	26.0010	6.8359	0.1483	15.6226	27.8119	49.8400	434	442	-221	100818	0.42 
9.282	2015-01-01 00:02:15.960	-0.0981	-0.0552	0.9980	-16.1743	34.6069	7.7515	-0.4340	16.6278	28.5040	49.8900	437	442	-219	100818	0.42 
9.314	2015-01-01 00:02:16.000	-0.1621	-0.0615	1.0859	-12.1460	25.9399	1.7700	-0.9668	17.6385	29.0259	49.8400	440	443	-215	100818	0.42 
9.345	2015-01-01 00:02:16.040	-0.1680	-0.0649	1.0806	-9.9487	1.7090	-0.9155	-1.4282	17.9242	29.3555	49.8900	442	443	-214	100818	0.42 
9.376	2015-01-01 00:02:16.080	-0.0752	-0.0547	0.9434	-6.5308	-4.3335	-5.9204	-1.8127	17.4792	29.5752	50.1800	443	443	-213	100818	0.42 
9.423	2015-01-01 00:02:16.120	-0.0786	-0.0420	0.9839	-1.2817	8.0566	-5.1270	-1.9995	17.2760	29.7235	49.9900	444	443	-213	100818	0.42 
9.485	2015-01-01 00:02:16.160	-0.1699	-0.0405	1.0615	2.7466	1.6479	-7.7515	-2.0105	17.2705	29.7675	49.9900	446	441	-214	100818	0.42 
9.517	2015-01-01 00:02:16.200	-0.1602	-0.0073	1.0762	-1.1597	-1.9531	-6.1646	-2.0270	16.9629	29.7455	49.8900	446	445	-214	100818	0.42 
9.563	2015-01-01 00:02:16.240	-0.2109	-0.0049	1.1392	-2.8687	5.9204	7.0801	-2.0490	16.9629	30.1245	49.8900	443	442	-213	100818	0.42 
9.595	2015-01-01 00:02:16.280	-0.1948	-0.2051	1.4541	2.1973	5.9814	11.3525	-1.9720	16.9189	30.8221	49.8900	444	441	-213	100818	0.42 
9.642	2015-01-01 00:02:16.320	-0.2412	0.0508	1.5361	4.4556	-0.1221	7.0190	-1.6919	16.9684	31.4429	49.8900	445	441	-215	100818	0.42 
9.720	2015-01-01 00:02:16.360	-0.2793	0.0728	1.1812	13.6719	11.9629	15.3198	-1.1096	16.8915	32.1570	49.8900	448	439	-214	100818	0.42 
9.751	2015-01-01 00:02:16.400	-0.3857	0.0659	0.9658	22.4609	44.3726	32.1655	0.0659	18.2922	33.3270	49.9900	451	438	-212	100818	0.42 
9.782	2015-01-01 00:02:16.440	-0.5649	0.1523	0.7793	9.7656	4.0894	37.9028	1.4172	19.4348	34.9146	49.8900	457	434	-214	100818	0.42 
9.798	2015-01-01 00:02:16.480	-0.3672	0.1523	0.9072	13.9771	-3.4790	19.8364	2.4500	19.5227	36.0956	49.8900	462	434	-221	100818	0.42 
9.845	2015-01-01 00:02:16.520	-0.2334	0.0303	0.8433	11.8408	-4.3335	12.3291	3.3014	19.2755	36.8811	50.0400	465	434	-224	100818	0.42 
9.892	2015-01-01 00:02:16.560	-0.2363	-0.0073	0.8262	5.7373	8.4229	-4.5166	3.5541	19.2645	37.0844	49.7000	466	434	-226	100817	0.42 
9.923	2015-01-01 00:02:16.600	-0.2598	0.1963	0.7510	5.6763	4.8828	0.9766	3.8507	19.5831	37.0514	49.6500	466	431	-223	100817	0.42 
9.970	2015-01-01 00:02:16.640	-0.2358	0.1602	0.6216	10.9253	4.6387	12.9395	4.6143	19.6710	37.4963	49.7500	470	428	-225	100817	0.42 
10.017	2015-01-01 00:02:16.680	-0.1812	0.0703	0.8159	9.8877	6.5918	12.2681	5.3284	19.8523	38.2324	49.8900	471	424	-222	100817	0.42 
